GeneID uniprot
152559 Q6TCH7
221302 Q96AP4
1823 Q08554
10162 Q6P1A2
22821 Q14644
10267 O60894
10672 Q14344
284058 Q7Z3B3
229 P05062
55964 Q9UH03
90827 Q96JC4
26136 Q9UGI8
5648 P48740
5256 P46019
3783 O15554
286530 Q86VZ1
84614 Q5TC79
333929 Q3KNW1
152330 Q8IWV2
4060 P51884
364 O14520
56895 Q9NRZ5
3196 O43763
140606 Q8WWX9
3990 P11150
163732 Q96RK1
344148 O14513
79801 Q8NEM2
138307 Q6JVE9
389151 Q6ZRT6
64446 Q9GZS0
204801 P59045
259285 P59534
100130742 Q6ZNQ3
4249 Q09328
284076 Q8N841
10134 P51572
26689 Q15615
1823 Q08554
91351 Q5H9U9
23532 P78395
51170 Q8NBQ5
57630 Q7Z6J0
11200 O96017
1288 Q14031
1305 Q5TAT6
120065 Q8WZ92
51725 Q9UH90
10868 Q9Y2K6
4750 Q96PY6
56160 Q96MG7
10661 Q13351
5362 O75051
115584 Q8WWX8
23562 O95500
284370 Q8N8J6
9188 Q9NR30
3759 P63252
2215 O75015
4100 P43355
10168 O14709
1070 O15182
79647 Q9H9L7
28966 Q9Y343
84912 Q969S0
1495 P35221
5957 P35243
9271 Q96J94
253639 Q6ZNG0
80243 Q70Z35
134860 Q96RI9
493 P23634
9135 Q15276
64746 Q9H3P7
8125 P39687
79772 Q6DN14
7464 Q92828
10747 O00187
54738 Q99581
8450 Q13620
83593 Q8WWW0
140739 Q969M7
195827 Q7RTV5
285555 Q8N412
100499483 Q9P1Z9
51390 Q9NVV5
6399 P0DI82
9841 O43167
25837 Q9ULW5
122773 Q8N7A1
65989 Q6UY11
60468 Q9BYV9
441282 C9JRZ8
29760 Q8WV28
415 P51690
9748 Q9H2G2
51347 Q9H2K8
9427 O95672
8748 O43506
8448 Q14183
2882 Q96SL4
339896 Q6ZQY3
4354 Q00013
5733 P43115
113146 Q8IVF2
5870 P20340
4947 O95190
2023 P06733
90485 Q9Y2P0
56132 Q9Y5E6
284996 Q8NC42
203190 Q8N145
